Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-January-2022,3680.00,3695.35,3475.00,3501.40,3578.728770140534846417,41769,12238,149479922.00,12733,30.48,220.35,-178.60
21-January-2022,3700.00,3755.00,3610.65,3702.80,3690.790705026873221625,25304,6561,93391768.00,8374,33.09,144.35,2.80
20-January-2022,3780.00,3780.00,3651.10,3697.40,3707.507996051332675222,15195,3143,56335584.00,5245,34.52,128.90,-82.60
19-January-2022,3788.00,3790.00,3710.05,3740.00,3740.859623676989415915,25510,6398,95429329.00,8434,33.06,79.95,-48.00
18-January-2022,3895.25,3921.35,3775.15,3788.10,3841.026712328767123287,14600,2505,56078990.00,4390,30.07,146.20,-107.15
17-January-2022,3975.00,3984.00,3860.85,3892.80,3900.931421163506725004,30855,5860,120363239.00,12427,40.28,123.15,-82.20
14-January-2022,3900.00,4027.35,3858.60,3931.80,3941.050755252040048613,34558,5671,136194832.00,6905,19.98,168.75,31.80
13-January-2022,3925.00,3951.20,3884.40,3918.00,3914.542604501607717041,8708,1644,34087837.00,1975,22.68,66.80,-7.00
12-January-2022,3815.00,3922.10,3815.00,3917.05,3890.357699824308585190,50657,8291,197073850.00,26578,52.47,107.10,102.05
11-January-2022,3780.00,3878.65,3778.05,3807.30,3838.954399387911247130,19605,2628,75262701.00,3486,17.78,100.60,27.30
10-January-2022,3800.00,3816.70,3750.00,3780.80,3776.616558941212680824,16245,2515,61351136.00,2902,17.86,66.70,-19.20
7-January-2022,3583.00,3773.00,3583.00,3761.95,3713.607572671727457878,32406,4554,120343167.00,7013,21.64,190.00,178.95
6-January-2022,3600.00,3611.90,3507.10,3579.75,3549.661071487808923536,30145,7425,107004533.00,7827,25.96,104.80,-20.25
5-January-2022,3591.00,3652.75,3564.40,3638.60,3607.269417768312773737,24887,4242,89774114.00,7593,30.51,88.35,47.60
4-January-2022,3695.00,3695.00,3580.00,3604.85,3606.042407539118065433,22496,4594,81121530.00,7277,32.35,115.00,-90.15
3-January-2022,3598.00,3674.90,3598.00,3655.55,3645.252154364930685650,10676,1662,38916712.00,3168,29.67,76.90,57.55
31-December-2021,3521.75,3608.95,3515.85,3590.35,3574.948598885568925139,24766,3714,88537177.00,11755,47.46,93.10,68.60
